Date,ETH,SPY,AGG,GLD,DXY,VIX,Regime
2018-01-03,,,,,,,Neutral
2018-01-04,,,,,,,Neutral
2018-01-05,,,,,,,Neutral
2018-01-06,,,,,,,Neutral
2018-01-07,,,,,,,Neutral
2018-01-08,,,,,,,Neutral
2018-01-09,,,,,,,Neutral
2018-01-10,,,,,,,Neutral
2018-01-11,,,,,,,Neutral
2018-01-12,,,,,,,Neutral
2018-01-13,,,,,,,Neutral
2018-01-14,,,,,,,Neutral
2018-01-15,,,,,,,Neutral
2018-01-16,,,,,,,Neutral
2018-01-17,,,,,,,Neutral
2018-01-18,,,,,,,Neutral
2018-01-19,,,,,,,Neutral
2018-01-20,,,,,,,Neutral
2018-01-21,,,,,,,Neutral
2018-01-22,,,,,,,Neutral
2018-01-23,,,,,,,Neutral
2018-01-24,,,,,,,Neutral
2018-01-25,,,,,,,Neutral
2018-01-26,,,,,,,Neutral
2018-01-27,,,,,,,Neutral
2018-01-28,,,,,,,Neutral
2018-01-29,,,,,,,Neutral
2018-01-30,,,,,,,Neutral
2018-01-31,,,,,,,Neutral
2018-02-01,0.7107328993732632,0.25414287334545005,0.09231909576172367,0.1759952849908493,0.09344188973299936,-0.36924398662557273,Neutral
2018-02-02,0.6941892499694241,0.21473488167831092,0.10004593912120863,0.19388144907301122,0.04755151221357351,-0.31949418612620223,Neutral
2018-02-03,0.6999702127986464,0.19882187515153296,0.1126477187736617,0.1727168079900117,0.07109930477354394,-0.3220021241324248,Neutral
2018-02-04,0.7537704815580246,0.13953562711458456,0.10833336922585625,0.20125691922676356,0.019756132447670247,-0.3022903235857116,Neutral
2018-02-05,0.7852091591105291,0.3918214810133058,-0.12503537755050811,0.15476061019618417,-0.08469761343888073,-0.47751972850852764,Risk-Off
2018-02-06,0.850037704244173,0.47023082252970433,-0.20664079430921672,0.009989125488714978,-0.052383278535745446,-0.538669118994191,Risk-Off
2018-02-07,0.8593876480233661,0.47938506043108864,-0.20489653261137078,0.0068054078307498754,-0.007306084742685506,-0.5432325322892279,Risk-Off
2018-02-08,0.9135192942985697,0.2553552422586886,-0.24828592767998925,0.013137912912461181,0.004978231682265625,-0.4742317892738588,Risk-Off
2018-02-09,0.9274167833428534,0.28850267838132543,-0.2678112704318584,-0.006003886908125783,0.03940175677280758,-0.48949065186615315,Risk-Off
2018-02-10,0.9273087557878558,0.33014134823697067,-0.24907554165231724,0.021226574635603193,-0.012761930059613577,-0.5114802875335887,Risk-Off
2018-02-11,0.9285980999147749,0.312983573411459,-0.2627882612901248,-0.046716025647770165,0.060225161827808994,-0.5082942118382995,Risk-Off
2018-02-12,0.9318114842554076,0.35524832424299024,-0.23513812140252346,0.006284722044866235,0.021676707263317208,-0.5284469626423954,Risk-Off
2018-02-13,0.9327435090257072,0.353341849264252,-0.23579434749325642,-0.004507174113433137,0.03713880039083456,-0.526977847841799,Neutral
2018-02-14,0.9437067763367145,0.38744342884318683,-0.3012610263316052,0.13523878579775916,-0.04767981777274444,-0.5642434179375482,Neutral
2018-02-15,0.9222912349734196,0.43142031856545104,-0.23919635856077268,0.16972116848013122,-0.2369154898995604,-0.5629182428663629,Neutral
2018-02-16,0.9221908035205154,0.44474165651545244,-0.22841907200726083,0.1558711185192343,-0.21255312861971998,-0.5634157999018697,Neutral
2018-02-17,0.9146563851083819,0.43867343223083505,-0.20429145424861256,0.1556918306936245,-0.20292124720901752,-0.5560221649827946,Neutral
2018-02-18,0.9160156571730328,0.43276713774863856,-0.2049021517496648,0.15336256651693964,-0.20720152374240133,-0.5491093062280098,Neutral
2018-02-19,0.9056114047870943,0.4422352856907828,-0.21423242082090085,0.15863743053191964,-0.21536835317349562,-0.560691676981273,Neutral
